EN SOURCE (canonical, in use)	ORIGIN	INTERIM DE (replace with approved copy)	INTERIM TH (replace)	INTERIM JA (replace)
— Khun Ket and Khun Paddy confirm each arrangement with you personally.	static page source	— Khun Ket und Khun Paddy bestätigen jedes Arrangement persönlich mit euch.	— คุณเกตุและคุณแพดดี้ยืนยันทุกการจัดเตรียมกับคุณเป็นการส่วนตัว	——クン・ケットとクン・パディが、ひとつひとつ直接ご確認します。
· a quiet Buddhist ritual to open the day	static page source	· ein stilles buddhistisches Ritual zur Eröffnung des Tages	· พิธีพุทธอันเงียบงามเพื่อเปิดวัน	・一日を開く静かな仏教の儀式
· drinks by the pool, then Lao food, music and celebration in the courtyard garden	static page source	· Drinks am Pool, dann laotisches Essen, Musik und Feiern im Hofgarten	· เครื่องดื่มริมสระ ต่อด้วยอาหารลาว ดนตรี และการเฉลิมฉลองในสวน	・プールサイドで乾杯、続いて中庭でラオス料理と音楽と祝祭
· First Class Sleeper from Krung Thep Aphiwat Central Terminal, waking in Nong Khai at 06:45	static page source	· First Class Sleeper ab Krung Thep Aphiwat Central Terminal — Aufwachen in Nong Khai um 06:45	· ตู้นอนชั้นหนึ่งจากสถานีกลางกรุงเทพอภิวัฒน์ ตื่นที่หนองคาย 06:45	・クルンテープ・アピワット中央駅発ファーストクラス寝台、6:45にノーンカーイで目覚める
· LINE & WhatsApp QR in your Guest Area	static page source	· LINE- & WhatsApp-QR im Gästebereich	· QR ของ LINE และ WhatsApp ในพื้นที่สำหรับแขก	・LINE/WhatsAppのQRはゲストエリアに
· Special Express No. 25 · Bangkok → Nong Khai	static page source	· Special Express No. 25 · Bangkok → Nong Khai	· รถด่วนพิเศษขบวนที่ 25 · กรุงเทพฯ → หนองคาย	・特急25号・バンコク→ノーンカーイ
· the vows, in front of everyone who matters	static page source	· das Versprechen, vor allen, die zählen	· คำสัญญา ต่อหน้าทุกคนที่สำคัญ	・大切な人みんなの前での誓い
· via Bangkok and Nong Khai · met and transferred	static page source	· über Bangkok und Nong Khai · empfangen und transferiert	· ผ่านกรุงเทพฯ และหนองคาย · มีคนรอรับและส่งต่อ	・バンコクとノーンカーイ経由・お出迎えと送迎付き
“what can I expect?”	static page source	„Was erwartet mich?“	“ฉันจะได้พบอะไร?”	「何が待っている？」
“what happens next?”	static page source	„Was passiert als Nächstes?“	“ต่อไปจะเป็นอย่างไร?”	「次はどうなる？」
(for reading only — Guest Relations arranges the tickets)	static page source	(nur zum Nachlesen — Guest Relations besorgt die Tickets)	(สำหรับอ่านเท่านั้น ฝ่ายดูแลแขกจัดการตั๋วให้)	（ご参考まで——切符はゲストリレーションズが手配します）
↑ Top	static page source	↑ Nach oben	↑ ขึ้นบน	↑ トップへ
04:30 PM	static page source	16:30 Uhr	16:30 น.	16:30
05:00 AM	static page source	05:00 Uhr	05:00 น.	5:00
06:45 · at the river	static page source	06:45 · am Fluss	06:45 · ริมแม่น้ำ	6:45・川のほとり
07:30 PM	static page source	19:30 Uhr	19:30 น.	19:30
1 King bed	static page source	1 Kingbett	เตียงคิง 1 เตียง	キングベッド1台
1 March 2027	dynamic renderer	1. März 2027	1 มีนาคม 2027	2027年3月1日
10 hours 20 minutes · First Class Sleeper	static page source	10 Stunden 20 Minuten · First Class Sleeper	10 ชั่วโมง 20 นาที · ตู้นอนชั้นหนึ่ง	10時間20分・ファーストクラス寝台
118 sq.m. · two bedrooms · shared living space	static page source	118 m² · zwei Schlafzimmer · gemeinsamer Wohnraum	118 ตร.ม. · สองห้องนอน · พื้นที่นั่งเล่นร่วม	118㎡・ベッドルーム2室・共有リビング
1st–3rd floor	static page source	1.–3. Etage	ชั้น 1–3	1〜3階
20:25 · Krung Thep Aphiwat	static page source	20:25 · Krung Thep Aphiwat	20:25 · กรุงเทพอภิวัฒน์	20:25・クルンテープ・アピワット
26 February 2027	static page source	26. Februar 2027	26 กุมภาพันธ์ 2027	2027年2月26日
27 February – 1 March 2027 · 2 nights	static page source	27. Februar – 1. März 2027 · 2 Nächte	27 กุมภาพันธ์ – 1 มีนาคม 2027 · 2 คืน	2027年2月27日〜3月1日・2泊
27 February – 1 March 2027 · Vientiane, Laos	static page source	27. Februar – 1. März 2027 · Vientiane, Laos	27 กุมภาพันธ์ – 1 มีนาคม 2027 · เวียงจันทน์ ลาว	2027年2月27日〜3月1日・ラオス、ビエンチャン
27 February 2027	static page source	27. Februar 2027	27 กุมภาพันธ์ 2027	2027年2月27日
28 February 2027	static page source	28. Februar 2027	28 กุมภาพันธ์ 2027	2027年2月28日
31 sq.m. · 1 King bed · 2 adults, 1 child · 1st–3rd floor	static page source	31 m² · 1 Kingbett · 2 Erw., 1 Kind · 1.–3. Etage	31 ตร.ม. · เตียงคิง · ผู้ใหญ่ 2 เด็ก 1 · ชั้น 1–3	31㎡・キングベッド・大人2名子ども1名・1〜3階
37–44 sq.m. · King or twin · up to 2 adults, 1 child	static page source	37–44 m² · King oder Twin · bis 2 Erw., 1 Kind	37–44 ตร.ม. · คิงหรือทวิน · ผู้ใหญ่ 2 เด็ก 1	37〜44㎡・キング/ツイン・大人2名子ども1名まで
49 sq.m. · 1 King bed · garden and pool views	static page source	49 m² · 1 Kingbett · Garten- und Poolblick	49 ตร.ม. · เตียงคิง · วิวสวนและสระ	49㎡・キングベッド・ガーデン＆プールビュー
63 sq.m. · 1 King bed · two bathrooms · ground floor	static page source	63 m² · 1 Kingbett · zwei Bäder · Erdgeschoss	63 ตร.ม. · เตียงคิง · ห้องน้ำสองห้อง · ชั้นล่าง	63㎡・キングベッド・バスルーム2つ・1階
66–75 sq.m. · living room under a high ceiling	static page source	66–75 m² · Wohnraum unter hoher Decke	66–75 ตร.ม. · ห้องนั่งเล่นเพดานสูง	66〜75㎡・高天井のリビング
84 sq.m. · separate living area · long balcony	static page source	84 m² · separater Wohnbereich · langer Balkon	84 ตร.ม. · พื้นที่นั่งเล่นแยก · ระเบียงยาว	84㎡・独立リビング・長いバルコニー
A 63 square metre retreat with a King bed, two bathrooms, a separate living area and a private balcony overlooking the garden and pool.	static page source	Ein 63 Quadratmeter großes Refugium mit Kingbett, zwei Bädern, separatem Wohnbereich und privatem Balkon mit Blick auf Garten und Pool.	ที่พัก 63 ตารางเมตร พร้อมเตียงคิง ห้องน้ำสองห้อง พื้นที่นั่งเล่นแยก และระเบียงส่วนตัวมองสวนและสระ	63平米の隠れ家。キングベッド、バスルーム2つ、独立したリビング、庭とプールを見渡すバルコニー。
A few personal details are still open so the table can be set around you.	dynamic renderer	Ein paar persönliche Angaben fehlen noch, damit der Tisch um euch herum gedeckt werden kann.	ยังขาดข้อมูลส่วนตัวเล็กน้อย เพื่อให้เราจัดเตรียมทุกอย่างรอบตัวคุณได้	あとわずかの情報で、あなたに合わせた準備が整います。
A larger heritage room, with a private balcony over the garden and the pool.	static page source	Ein größeres Heritage-Zimmer mit privatem Balkon zu Garten und Pool.	ห้องเฮอริเทจที่กว้างขึ้น พร้อมระเบียงส่วนตัวมองสวนและสระ	より広いヘリテージルーム。庭とプールを望むプライベートバルコニー付き。
A light wrap for the river air after dark	static page source	Ein leichter Überwurf für die Flussluft nach Einbruch der Dunkelheit	ผ้าคลุมบาง ๆ สำหรับลมริมน้ำยามค่ำ	日暮れ後の川風に、軽い羽織りを
A limited number of complimentary private residence stays are also available.	static page source	Eine begrenzte Zahl kostenfreier Privatresidenz-Aufenthalte ist ebenfalls verfügbar.	ยังมีที่พักเรสซิเดนซ์ส่วนตัวไม่มีค่าใช้จ่ายจำนวนจำกัด	数に限りある無料のプライベートレジデンス滞在もございます。
A little about you	dynamic renderer	Ein wenig über euch	เล่าถึงตัวคุณสักนิด	あなたのこと、少しだけ
A quiet Buddhist ritual to open the wedding day at first light. Monks walk in procession; rice is offered; nothing is hurried.	dynamic renderer	Ein stilles buddhistisches Ritual zur Eröffnung des Hochzeitstags im ersten Licht. Mönche ziehen in Prozession; Reis wird gereicht; nichts wird eilig.	พิธีทางพุทธอันเงียบงามเปิดวันแต่งงานยามแสงแรก พระสงฆ์เดินบิณฑบาต ถวายข้าว ไม่มีสิ่งใดเร่งรีบ	夜明けの光とともに結婚の一日を開く、静かな仏教の儀式。僧侶の列が進み、米が捧げられ、何も急がない。
A room that is part	static page source	Ein Zimmer, das Teil	ห้องที่เป็นส่วนหนึ่ง	その部屋も
A slower hour,	static page source	Eine langsamere Stunde,	ชั่วโมงที่ช้าลง	ゆったりとした時間を、
A warm private residence in central Vientiane, secured for the wedding stay and hosted for a limited number of guests. Guest Relations coordinates the arrangements personally.	static page source	Eine warme private Residenz im Zentrum von Vientiane, für den Hochzeitsaufenthalt gesichert und für eine begrenzte Zahl von Gästen übernommen. Guest Relations koordiniert alles persönlich.	เรสซิเดนซ์ส่วนตัวอันอบอุ่นใจกลางเวียงจันทน์ จัดเตรียมไว้สำหรับช่วงงานแต่งและรองรับแขกจำนวนจำกัด ฝ่ายดูแลแขกประสานงานเป็นการส่วนตัว	ビエンチャン中心部のあたたかなプライベートレジデンス。挙式滞在のために確保し、限られたゲストをご招待。手配はゲストリレーションズが直接調整します。
about to happen	static page source	im Begriff zu geschehen	เกิดขึ้น	はじまろうとしています
Accommodation	dynamic renderer	Unterkunft	ที่พัก	宿泊
across the Mekong	static page source	über den Mekong	ข้ามแม่น้ำโขง	メコンを越えて
Add to journey	dynamic renderer	Zur Reise hinzufügen	เพิ่มในการเดินทาง	旅に追加
Additional guests are reviewed by Guest Relations and become part of your invitation only after approval. Nothing changes automatically.	static page source	Zusätzliche Gäste werden von Guest Relations geprüft und werden erst nach Freigabe Teil eurer Einladung. Nichts ändert sich automatisch.	แขกเพิ่มเติมจะได้รับการพิจารณาโดยฝ่ายดูแลแขก และจะเป็นส่วนหนึ่งของบัตรเชิญเมื่อได้รับอนุมัติเท่านั้น ไม่มีอะไรเปลี่ยนโดยอัตโนมัติ	追加ゲストはゲストリレーションズが確認し、承認後にはじめて招待に加わります。自動的に変わることはありません。
After a long day, what do you love to find waiting for you?	dynamic renderer	Was findet ihr nach einem langen Tag am liebsten vor?	หลังวันอันยาวนาน คุณอยากให้อะไรรอคุณอยู่?	長い一日の終わりに、待っていてほしいものは？
Air conditioning	static page source	Klimaanlage	เครื่องปรับอากาศ	エアコン
Airport	dynamic renderer	Flughafen	สนามบิน	空港
Airport Drop Off by Jaguar	dynamic renderer	Flughafentransfer im Jaguar (Abreise)	ส่งไปสนามบินด้วยรถจากัวร์	ジャガーで空港お見送り
Airport Drop Off by Mercedes-Benz	dynamic renderer	Flughafentransfer im Mercedes-Benz (Abreise)	ส่งไปสนามบินด้วยเมอร์เซเดส-เบนซ์	メルセデス・ベンツで空港お見送り
Airport Pickup by Jaguar	dynamic renderer	Flughafenabholung im Jaguar	รับจากสนามบินด้วยรถจากัวร์	ジャガーで空港お迎え
